英文|中文

%@ %@ support request|%1$@ %2$@ support request
%@ (%@) selected.|%1$@ (%2$@) 已选中.
%@ (%@) visible.|%1$@ (%2$@) 可见.
%i activities|%i项活动
%i hours|%i小时
%i minutes|%i分钟
%i seconds|%i秒
%ih|%i小时
%im|%i分钟
%is|%i秒
.profile is modified|.profile文件已更改
About %@|关于%@
Accessibility is enabled|辅助功能已启用
Activities shorter than %@ are hidden.|低于 %@ 的活动已隐藏。
All Activities|所有活动
Application|应用程序
Blacklist|黑名单
Cancel|取消
Communication|通讯
Continue Anyway|仍然继续
Custom Activities|自定义活动
Delete|删除
Delete Activities|删除活动
Development|开发
Resume Tracking|恢复追踪
Do you really wish to delete the selected activities?|你真的想删除选中的活动吗?
Do you really wish to quit the Timing menu item?|你真的想退出Timing菜单项吗?
Don't start automatically|不要自动开始
Duration|持续时间
Edit|编辑
Edit Project \"%@\"|编辑项目 \"%@\"
Pause Tracking|暂停追踪
End Date|结束时间
File Management|文件管理
Finance|财务
Games|游戏
iLife|iLife
Image Editing|图像编辑
Keep Tracking|继续追踪
Launch at Login|开机时启动
Media|媒体
New Project|新建项目
No activities available.|没有可用的活动。
No activities filtered by duration.|没有按持续时间筛选出的活动。
Office|办公
One activity|1项活动
one hour|1小时
one minute|1分钟
one second|1秒
Open System Preferences|打开系统偏好设置
Project|项目
Project durations graph|项目持续时间图
Quick Look|快速预览
Quit %@|退出 %@
Quit Menu Item|退出菜单项
Reading|阅读
Remove from \"%@\"|从 \"%@\" 移除
Rename|重命名
Reveal in Finder|在Finder中显示
Select a color:|选择一个颜色:
Show Instructions|显示指南
Start Date|开始日期
System Preferences opened|系统偏好设置已打开
This will IRREVOCABLY delete all corresponding activities and sub-activities that are currently visible.|This will IRREVOCABLY delete all corresponding activities and sub-activities that are currently visible.
Timeline|时间线
Timing can only track your activities while the menu item is running.|Timing时间只能在菜单项运行时追踪您的活动。
Today: %@|今日: %@
Unassigned|未指定
Web Browsing|网络浏览
Would you like to also quit the Timing menu item?|您想同时退出Timing菜单项吗?
Would you like to have the Timing menu item launch automatically at login?|Would you like to have the Timing menu item launch automatically at login?
Zero activities|没有活动
zero seconds|0秒
Between %@ and %@|在 %1$@ 和 %2$@ 之间
Do you really wish to IRREVOCABLY delete the selected activities?|Do you really wish to irrevocably delete the selected activities?
Do you really wish to irrevocably delete the selected activities?|Do you really wish to irrevocably delete the selected activities?
Database Corrupted|数据库已损坏
It appears that your Timing database has been corrupted.\nPlease contact us via http://timingapp.com/support for assistance.|It appears that your Timing database has been corrupted.\nPlease contact us via http://timingapp.com/support for assistance.
OK|好
Timing can't track most documents' paths if it doesn't have access to the Accessibility API.|Timing can't track most documents' paths if it doesn't have access to the Accessibility API.
